Start Time (ns),End Time (ns),Time Elapsed (ms),Result
4.03374E+12,4.0338E+12,57.532922,dandelion
4.03384E+12,4.0339E+12,64.516048,dandelion
4.03394E+12,4.03399E+12,57.502766,dandelion
4.03406E+12,4.03412E+12,61.234329,dandelion
4.03417E+12,4.03423E+12,56.255891,dandelion
4.03427E+12,4.03433E+12,60.541725,dandelion
4.03437E+12,4.03443E+12,62.847454,dandelion
4.03447E+12,4.03453E+12,57.031464,dandelion
4.03457E+12,4.03463E+12,59.255579,dandelion
4.03467E+12,4.03472E+12,54.735891,dandelion
4.03478E+12,4.03483E+12,52.732818,dandelion
4.03487E+12,4.03493E+12,61.547715,dandelion
4.03497E+12,4.03503E+12,60.567089,dandelion
4.03507E+12,4.03513E+12,58.14761,dandelion
4.0352E+12,4.03526E+12,60.389589,dandelion
4.03532E+12,4.03538E+12,58.635475,dandelion
4.0354E+12,4.03545E+12,52.879484,dandelion
4.0355E+12,4.03556E+12,58.44412,dandelion
4.0356E+12,4.03566E+12,56.077245,dandelion
4.03571E+12,4.03577E+12,62.17386,dandelion
4.03582E+12,4.03588E+12,60.519693,dandelion
4.0359E+12,4.03596E+12,58.304745,dandelion
4.036E+12,4.03606E+12,58.513391,dandelion
4.03611E+12,4.03616E+12,58.428444,dandelion
4.0362E+12,4.03626E+12,55.901568,dandelion
4.0363E+12,4.03636E+12,59.82261,dandelion
4.0364E+12,4.03646E+12,55.996464,dandelion
4.0365E+12,4.03656E+12,55.109328,dandelion
4.03661E+12,4.03667E+12,61.044225,dandelion
4.0367E+12,4.03677E+12,63.119277,dandelion
4.0368E+12,4.03687E+12,63.751517,dandelion
4.0369E+12,4.03696E+12,58.87886,dandelion
4.037E+12,4.03706E+12,56.64287,dandelion
4.0371E+12,4.03716E+12,57.603652,dandelion
4.0372E+12,4.03726E+12,56.605422,dandelion
4.0373E+12,4.03737E+12,60.847193,dandelion
4.0374E+12,4.03745E+12,52.834328,dandelion
4.0375E+12,4.03756E+12,59.390266,dandelion
4.0376E+12,4.03766E+12,58.48162,dandelion
4.03773E+12,4.03779E+12,59.564224,dandelion
