Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Time (sec),FPS,
6,6.92E+12,6.92E+12,16.767448,0,,,,,
6,6.92E+12,6.92E+12,16.76762,0,,,,,
6,6.92E+12,6.92E+12,16.767458,0,,,,,
6,6.92E+12,6.92E+12,16.767075,0,,,,,
6,6.92E+12,6.92E+12,16.767132,0,,,,,
6,6.92E+12,6.92E+12,16.767016,0,,,,,
6,6.92E+12,6.92E+12,16.767018,0,,,,,
6,6.92E+12,6.92E+12,16.767096,0,,,,,
6,6.92E+12,6.92E+12,16.767187,0,,,,,
6,6.92E+12,6.92E+12,16.765448,0,,,,,
6,6.92E+12,6.92E+12,16.767366,0,,,,,
6,6.92E+12,6.92E+12,16.767468,0,,,,,
6,6.92E+12,6.92E+12,16.767364,0,,,,,
6,6.92E+12,6.92E+12,16.767209,0,,,,,
6,6.92E+12,6.92E+12,16.767911,0,,,,,
6,6.92E+12,6.92E+12,16.767658,0,,,,,
6,6.92E+12,6.92E+12,16.767091,0,,,,,
6,6.92E+12,6.92E+12,16.76717,0,,,,,
6,6.92E+12,6.92E+12,16.766542,0,,,,,
6,6.92E+12,6.92E+12,16.767148,0,,,,,
6,6.92E+12,6.92E+12,16.76779,0,,,,,
6,6.92E+12,6.92E+12,16.767521,0,,,,,
6,6.92E+12,6.92E+12,16.765809,0,,,,,
6,6.92E+12,6.92E+12,16.767185,0,,,,,
6,6.92E+12,6.92E+12,16.767443,0,,,,,
6,6.92E+12,6.92E+12,16.767121,0,,,,,
6,6.92E+12,6.92E+12,16.767363,0,,,,,
6,6.92E+12,6.92E+12,16.767293,0,,,,,
6,6.92E+12,6.92E+12,16.767584,0,,,,,
6,6.92E+12,6.92E+12,16.767348,0,,,,,
6,6.92E+12,6.92E+12,16.767171,0,,,,,
6,6.92E+12,6.92E+12,16.767199,0,,,,,
6,6.92E+12,6.92E+12,16.767821,0,,,,,
6,6.92E+12,6.92E+12,16.767697,0,,,,,
6,6.92E+12,6.92E+12,16.767838,0,,,,,
6,6.92E+12,6.92E+12,16.766644,0,,,,,
6,6.92E+12,6.92E+12,16.76757,0,,,,,
6,6.92E+12,6.92E+12,16.766658,0,,,,,
6,6.92E+12,6.92E+12,16.766754,0,,,,,
6,6.92E+12,6.92E+12,16.767186,0,,,,,
6,6.92E+12,6.92E+12,16.766995,0,,,,,
6,6.92E+12,6.92E+12,16.76757,0,,,,,
6,6.92E+12,6.92E+12,16.767496,0,,,,,
6,6.92E+12,6.92E+12,16.767142,0,,,,,
6,6.92E+12,6.92E+12,16.767473,0,,,,,
6,6.92E+12,6.92E+12,16.767117,0,,,,,
6,6.92E+12,6.92E+12,16.767299,0,,,,,
7,6.92E+12,6.92E+12,16.767184,0,,,,,
7,6.92E+12,6.92E+12,16.767543,0,,,,,
7,6.92E+12,6.92E+12,16.767595,0,,,,,
7,6.92E+12,6.92E+12,16.767368,0,,,,,
7,6.92E+12,6.92E+12,16.766939,0,,,,,
7,6.92E+12,6.92E+12,16.767406,0,,,,,
7,6.92E+12,6.92E+12,16.767597,0,,,,,
7,6.92E+12,6.92E+12,16.767439,0,,,,,
7,6.92E+12,6.92E+12,16.767434,0,,,,,
7,6.92E+12,6.92E+12,16.766475,0,,,,,
7,6.92E+12,6.92E+12,16.767124,0,,,,,
7,6.92E+12,6.92E+12,16.767297,0,,,,,
7,6.92E+12,6.92E+12,16.767742,0,,,,,
7,6.92E+12,6.92E+12,16.767168,0,,,,,
7,6.92E+12,6.92E+12,16.767347,0,,,,,
7,6.92E+12,6.92E+12,16.767186,0,,,,,
7,6.92E+12,6.92E+12,16.767189,0,,,,,
7,6.92E+12,6.92E+12,16.767304,0,,,,,
7,6.92E+12,6.92E+12,16.766976,0,,,,,
7,6.92E+12,6.92E+12,16.76765,0,,,,,
7,6.92E+12,6.92E+12,16.767061,0,,,,,
7,6.92E+12,6.92E+12,16.766974,0,,,,,
7,6.92E+12,6.92E+12,16.76779,0,,,,,
7,6.92E+12,6.92E+12,16.765623,0,,,,,
7,6.92E+12,6.92E+12,16.767189,0,,,,,
7,6.92E+12,6.92E+12,16.767459,0,,,,,
7,6.92E+12,6.92E+12,16.767674,0,,,,,
7,6.92E+12,6.92E+12,16.767397,0,,,,,
7,6.92E+12,6.92E+12,16.767719,0,,,,,
7,6.92E+12,6.92E+12,16.766356,0,,,,,
7,6.92E+12,6.92E+12,16.766316,0,,,,,
7,6.92E+12,6.92E+12,16.766963,0,,,,,
7,6.92E+12,6.92E+12,16.767354,0,,,,,
7,6.92E+12,6.92E+12,16.767586,0,,,,,
7,6.92E+12,6.92E+12,16.767727,0,,,,,
7,6.92E+12,6.92E+12,16.766892,0,,,,,
7,6.92E+12,6.92E+12,16.766891,0,,,,,
7,6.92E+12,6.92E+12,16.767073,0,,,,,
7,6.92E+12,6.92E+12,16.767281,0,,,,,
7,6.92E+12,6.92E+12,16.767367,0,,,,,
7,6.92E+12,6.92E+12,16.767915,0,,,,,
7,6.92E+12,6.92E+12,16.766535,0,,,,,
7,6.92E+12,6.92E+12,16.767361,0,,,,,
7,6.92E+12,6.92E+12,16.767461,0,,,,,
7,6.92E+12,6.92E+12,16.767287,0,,,,,
7,6.92E+12,6.92E+12,16.766971,0,,,,,
7,6.92E+12,6.92E+12,16.76765,0,,,,,
7,6.92E+12,6.92E+12,16.767572,0,,,,,
7,6.92E+12,6.92E+12,16.766997,0,,,,,
7,6.92E+12,6.92E+12,16.767262,0,,,,,
7,6.92E+12,6.92E+12,16.767186,0,,,,,
7,6.92E+12,6.92E+12,16.767574,0,,,,,
7,6.92E+12,6.92E+12,16.76742,0,,,,,
7,6.92E+12,6.92E+12,16.767179,0,,,,,
7,6.92E+12,6.92E+12,16.766601,0,,,,,
7,6.92E+12,6.92E+12,16.766976,0,,,,,
7,6.92E+12,6.92E+12,16.766995,0,,,,,
7,6.92E+12,6.92E+12,16.767297,0,,,,,
7,6.92E+12,6.92E+12,16.767911,0,,,,,
8,6.92E+12,6.92E+12,16.767726,0,,,,,
