Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.279221,36.484535
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.409742,36.615056
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.078699,36.284013
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.819429,36.024743
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.882033,36.087347
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.776876,35.98219
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.023856,36.22917
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.174429,36.379743
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.13672,36.342034
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.717085,36.922399
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,20.245991,37.451305
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.213335,36.418649
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.943648,36.148962
8,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.851929,36.057243
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.170991,36.376305
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.360262,36.565576
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.739325,35.944639
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.078492,36.283806
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.571512,36.776826
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.181824,36.387138
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.674689,35.880003
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.64797,35.853284
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.70745,35.912764
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.736877,35.942191
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.157814,36.363128
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.189273,36.394587
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.093075,36.298389
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.319845,36.525159
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.302502,36.507816
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.864845,36.070159
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.838283,36.043597
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.723127,35.928441
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.849845,36.055159
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.474898,36.680212
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.445835,36.651149
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.258335,36.463649
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,20.462711,37.668025
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.167294,36.372608
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.858908,37.064222
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.966929,36.172243
9,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.386199,35.591513
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.675211,35.880525
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.972346,36.17766
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.876668,37.081982
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.84995,36.055264
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.041929,36.247243
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.233023,36.438337
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.226617,36.431931
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.032345,36.237659
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.642867,35.848181
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.571512,35.776826
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.041668,36.246982
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.879377,37.084691
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.189533,36.394847
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.662763,36.868077
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.203804,36.409118
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.170887,36.376201
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.952658,36.157972
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.810783,36.016097
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.666981,35.872295
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.935575,36.140889
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.277866,36.48318
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,20.975887,38.181201
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.730679,36.935993
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.942814,36.148128
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.070106,36.27542
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.797398,36.002712
10,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.716252,35.921566
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.731199,35.936513
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.889794,36.095108
