Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),Total Time Elapsed (ms)
9,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.155731,22.928387
9,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.026825,21.799481
9,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.161772,21.934428
9,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.635679,22.408335
9,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.980054,22.75271
9,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.159429,21.932085
9,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.296044,22.0687
9,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.534325,22.306981
9,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.550106,22.322762
9,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.652502,22.425158
9,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.67844,22.451096
9,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,22.867606,24.640262
9,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.802762,22.575418
9,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.049012,21.821668
9,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.282554,22.05521
9,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.175888,22.948544
9,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.938543,22.711199
9,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.148544,21.9212
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.318804,22.09146
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.700002,22.472658
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.931981,21.704637
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.325418,22.098074
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.141357,21.914013
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.939324,21.71198
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.965836,21.738492
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.336617,22.109273
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.599585,22.372241
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.297815,22.070471
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.054794,21.82745
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.689898,22.462554
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.210575,21.983231
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.765575,21.538231
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.983596,21.756252
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.794168,22.566824
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.371773,22.144429
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.063388,21.836044
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.244012,22.016668
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.146564,21.91922
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.827919,21.600575
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.714065,21.486721
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.572034,22.34469
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.957502,21.730158
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.960054,21.73271
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.693284,22.46594
10,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.30521,22.077866
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.827606,21.600262
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.811096,21.583752
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.576356,22.349012
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.993543,22.766199
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.137762,21.910418
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.275263,23.047919
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.574741,22.347397
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.725158,21.497814
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.724585,21.497241
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.429898,23.202554
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.677711,22.450367
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.323596,22.096252
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.210002,21.982658
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.08245,21.855106
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.871408,21.644064
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.198752,21.971408
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.2787,22.051356
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.918179,21.690835
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.981564,21.75422
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.411461,22.184117
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.849585,21.622241
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.719013,21.491669
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.02469,21.797346
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.460627,22.233283
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.393075,22.165731
11,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.175366,21.948022
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.282398,22.055054
