Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Num,FPS,,Min FPS,Max FPS,Avg FPS
3,2.50E+14,2.50E+14,16.776415,0,,,181,60,,,,
3,2.50E+14,2.50E+14,16.777757,0,,,182,59,,,,
3,2.50E+14,2.50E+14,16.775586,0,,,183,60,,,,
3,2.50E+14,2.50E+14,16.777623,0,,,184,60,,,,
3,2.50E+14,2.50E+14,16.774012,0,,,185,59,,,,
3,2.50E+14,2.50E+14,16.773663,0,,,186,60,,,,
3,2.50E+14,2.50E+14,16.772505,0,,,187,59,,,,
3,2.50E+14,2.50E+14,16.775582,0,,,188,60,,,,
3,2.50E+14,2.50E+14,16.77662,0,,,189,60,,,,
3,2.50E+14,2.50E+14,16.774908,0,,,190,59,,,,
3,2.50E+14,2.50E+14,16.77563,0,,,191,60,,,,
3,2.50E+14,2.50E+14,16.770807,0,,,192,59,,,,
3,2.50E+14,2.50E+14,16.773274,0,,,193,60,,,,
3,2.50E+14,2.50E+14,16.777854,0,,,194,60,,,,
3,2.50E+14,2.50E+14,16.777127,0,,,195,59,,,,
3,2.50E+14,2.50E+14,16.77752,0,,,196,60,,,,
3,2.50E+14,2.50E+14,16.777592,0,,,197,59,,,,
3,2.50E+14,2.50E+14,16.775198,0,,,198,60,,,,
3,2.50E+14,2.50E+14,16.776243,0,,,199,60,,,,
3,2.50E+14,2.50E+14,16.775224,0,,,200,59,,,,
3,2.50E+14,2.50E+14,16.77768,0,,,201,60,,,,
3,2.50E+14,2.50E+14,16.778058,0,,,202,60,,,,
3,2.50E+14,2.50E+14,16.777472,0,,,203,59,,,,
3,2.50E+14,2.50E+14,16.77437,0,,,204,60,,,,
3,2.50E+14,2.50E+14,16.774745,0,,,205,59,,,,
3,2.50E+14,2.50E+14,16.776881,0,,,206,60,,,,
3,2.50E+14,2.50E+14,16.775988,0,,,207,60,,,,
3,2.50E+14,2.50E+14,16.77627,0,,,208,59,,,,
3,2.50E+14,2.50E+14,16.774252,0,,,209,60,,,,
3,2.50E+14,2.50E+14,16.776708,0,,,210,59,,,,
3,2.50E+14,2.50E+14,16.775541,0,,,211,60,,,,
3,2.50E+14,2.50E+14,16.776384,0,,,212,60,,,,
3,2.50E+14,2.50E+14,16.778216,0,,,213,59,,,,
3,2.50E+14,2.50E+14,16.777733,0,,,214,60,,,,
3,2.50E+14,2.50E+14,16.778108,0,,,215,60,,,,
3,2.50E+14,2.50E+14,16.777196,0,,,216,59,,,,
3,2.50E+14,2.50E+14,16.777167,0,,,217,60,,,,
3,2.50E+14,2.50E+14,16.776896,0,,,218,59,,,,
3,2.50E+14,2.50E+14,16.773073,0,,,219,60,,,,
3,2.50E+14,2.50E+14,16.775008,0,,,220,60,,,,
3,2.50E+14,2.50E+14,16.776554,0,,,221,59,,,,
3,2.50E+14,2.50E+14,16.777251,0,,,222,60,,,,
3,2.50E+14,2.50E+14,16.777642,0,,,223,59,,,,
3,2.50E+14,2.50E+14,16.76939,0,,,224,60,,,,
3,2.50E+14,2.50E+14,16.775822,0,,,225,60,,,,
3,2.50E+14,2.50E+14,16.778507,0,,,226,59,,,,
3,2.50E+14,2.50E+14,16.778312,0,,,227,60,,,,
3,2.50E+14,2.50E+14,16.775106,0,,,228,59,,,,
3,2.50E+14,2.50E+14,16.7731,0,,,229,60,,,,
3,2.50E+14,2.50E+14,16.777888,0,,,230,60,,,,
3,2.50E+14,2.50E+14,16.768458,0,,,231,59,,,,
3,2.50E+14,2.50E+14,16.773203,0,,,232,60,,,,
3,2.50E+14,2.50E+14,16.773494,0,,,233,60,,,,
3,2.50E+14,2.50E+14,16.777781,0,,,234,59,,,,
3,2.50E+14,2.50E+14,16.777947,0,,,235,60,,,,
3,2.50E+14,2.50E+14,16.778098,0,,,236,59,,,,
3,2.50E+14,2.50E+14,16.774718,0,,,237,60,,,,
4,2.50E+14,2.50E+14,16.777021,0,,,238,60,,,,
4,2.50E+14,2.50E+14,16.776368,0,,,239,59,,,,
4,2.50E+14,2.50E+14,16.77557,0,,,240,60,,,,
4,2.50E+14,2.50E+14,16.776068,0,,,241,59,,,,
4,2.50E+14,2.50E+14,16.77827,0,,,242,60,,,,
4,2.50E+14,2.50E+14,16.775669,0,,,243,60,,,,
4,2.50E+14,2.50E+14,16.771276,0,,,244,59,,,,
4,2.50E+14,2.50E+14,16.77668,0,,,245,60,,,,
4,2.50E+14,2.50E+14,16.772217,0,,,246,59,,,,
4,2.50E+14,2.50E+14,16.778264,0,,,247,60,,,,
4,2.50E+14,2.50E+14,16.776446,0,,,248,60,,,,
4,2.50E+14,2.50E+14,16.776037,0,,,249,59,,,,
4,2.50E+14,2.50E+14,16.777223,0,,,250,60,,,,
4,2.50E+14,2.50E+14,16.777305,0,,,251,60,,,,
4,2.50E+14,2.50E+14,16.775907,0,,,252,59,,,,
4,2.50E+14,2.50E+14,16.773011,0,,,253,60,,,,
4,2.50E+14,2.50E+14,16.776611,0,,,254,59,,,,
4,2.50E+14,2.50E+14,16.777893,0,,,255,60,,,,
4,2.50E+14,2.50E+14,16.778634,0,,,256,60,,,,
4,2.50E+14,2.50E+14,16.777876,0,,,257,59,,,,
4,2.50E+14,2.50E+14,16.776457,0,,,258,60,,,,
4,2.50E+14,2.50E+14,16.777751,0,,,259,59,,,,
4,2.50E+14,2.50E+14,16.777245,0,,,260,60,,,,
4,2.50E+14,2.50E+14,16.776559,0,,,261,60,,,,
4,2.50E+14,2.50E+14,16.774312,0,,,262,59,,,,
4,2.50E+14,2.50E+14,16.77715,0,,,263,60,,,,
4,2.50E+14,2.50E+14,16.775437,0,,,264,59,,,,
4,2.50E+14,2.50E+14,16.778262,0,,,265,60,,,,
4,2.50E+14,2.50E+14,16.776722,0,,,266,60,,,,
4,2.50E+14,2.50E+14,16.775729,0,,,267,59,,,,
4,2.50E+14,2.50E+14,16.778135,0,,,268,60,,,,
4,2.50E+14,2.50E+14,16.772582,0,,,269,60,,,,
